brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_m2
Compass,lista para la venta,451440,6,1,0.49,Avenida de la Constitución 151,Vigo,Valencia,42938,117,2023-12-07,3858.4615384615386
eXp Realty,lista para la venta,1227227,6,2,0.76,Ronda de Valencia 70,Málaga,Canarias,20579,413,2023-11-24,2971.4939467312347
Realty One,lista para la venta,657221,5,3,0.24,Calle Mayor 196,Sevilla,Baleares,86475,221,2023-08-24,2973.8506787330316
Century 21,lista para construir,976110,4,2,1.42,Calle Mayor 193,Las Palmas,Andalucía,28040,355,2023-10-14,2749.605633802817
eXp Realty,lista para construir,775796,6,3,0.54,Calle Mayor 51,Las Palmas,Galicia,83774,246,2023-08-23,3153.642276422764
RE/MAX,lista para la venta,1255288,5,1,1.36,Avenida de la Constitución 62,Bilbao,Madrid,32770,333,2024-06-10,3769.6336336336335
eXp Realty,lista para construir,894135,2,2,0.29,Paseo de la Castellana 37,Palma,Castilla-La Mancha,97722,387,2024-11-16,2310.4263565891474
RE/MAX,lista para la venta,874819,2,1,1.77,Avenida Diagonal 73,Vigo,Aragón,38404,363,2023-10-08,2409.969696969697
Keller Williams,lista para construir,333846,3,3,0.41,Calle Alcalá 86,Valladolid,Andalucía,13634,118,2023-10-30,2829.2033898305085
Berkshire Hathaway,lista para la venta,393794,1,1,1.58,Calle Gran Vía 155,Córdoba,Galicia,19060,136,2024-05-05,2895.544117647059
Compass,lista para construir,665196,5,2,1.75,Calle Mayor 52,Córdoba,Cataluña,72267,196,2024-10-20,3393.8571428571427
Coldwell Banker,lista para la venta,1211799,6,2,1.68,Calle Mayor 169,Las Palmas,Andalucía,69771,481,2025-04-15,2519.3326403326405
Century 21,lista para construir,712557,4,3,1.52,Avenida de la Constitución 167,Palma,Andalucía,90941,248,2024-06-02,2873.2137096774195
Sotheby's,lista para la venta,455161,6,2,0.41,Calle Gran Vía 128,Sevilla,Castilla y León,72717,98,2023-12-16,4644.5
Compass,lista para construir,347474,5,2,1.11,Avenida de la Constitución 61,Sevilla,Castilla y León,72646,53,2023-08-10,6556.11320754717
eXp Realty,lista para construir,1018906,3,4,1.31,Ronda de Valencia 132,Valencia,Castilla y León,87348,315,2023-10-15,3234.6222222222223
Realty One,lista para construir,698992,1,2,1.96,Ronda de Valencia 195,Vigo,Aragón,76402,227,2023-11-07,3079.259911894273
Sotheby's,lista para construir,579671,6,1,0.22,Avenida Diagonal 142,Bilbao,Canarias,14830,119,2023-10-04,4871.18487394958
Compass,lista para construir,2252558,2,2,1.72,Calle Serrano 104,Barcelona,Asturias,36033,494,2023-06-10,4559.834008097166
Berkshire Hathaway,lista para construir,1159781,2,3,1.68,Calle Serrano 191,Málaga,Andalucía,71951,369,2024-06-09,3143.0379403794036
eXp Realty,lista para construir,1060288,1,2,0.27,Calle Gran Vía 199,Palma,Canarias,99954,465,2023-12-10,2280.189247311828
eXp Realty,lista para la venta,350603,3,2,0.22,Avenida Diagonal 14,Valladolid,Canarias,61994,123,2025-04-13,2850.430894308943
Berkshire Hathaway,lista para la venta,987623,4,4,1.79,Avenida de la Constitución 82,Málaga,Canarias,85016,295,2024-06-22,3347.8745762711865
Realty One,lista para la venta,490438,4,4,1.62,Ronda de Valencia 156,Zaragoza,Asturias,56577,140,2024-10-01,3503.1285714285714
Coldwell Banker,lista para la venta,1212903,6,3,1.86,Avenida de la Constitución 111,Valladolid,Madrid,19631,459,2023-08-28,2642.4901960784314
Berkshire Hathaway,lista para construir,551185,3,3,1.8,Calle Alcalá 181,Las Palmas,Baleares,63733,156,2025-01-29,3533.2371794871797
Century 21,lista para construir,2064059,3,1,1.47,Calle Serrano 24,Barcelona,Madrid,61570,444,2024-05-10,4648.781531531532
Berkshire Hathaway,lista para construir,753791,1,1,1.92,Avenida de la Constitución 96,Zaragoza,Murcia,88998,327,2025-02-01,2305.1712538226298
Compass,lista para construir,1021437,3,2,1.0,Avenida de la Constitución 64,Valladolid,Aragón,13652,415,2024-07-07,2461.2939759036144
Coldwell Banker,lista para la venta,796350,1,2,0.31,Plaza del Sol 188,Bilbao,Valencia,16014,224,2024-04-25,3555.1339285714284
Sotheby's,lista para la venta,507993,1,1,0.42,Calle Mayor 128,Valencia,Andalucía,90450,156,2024-04-04,3256.3653846153848
Compass,lista para la venta,357279,3,1,1.72,Calle Serrano 66,Vigo,Castilla y León,89087,104,2023-10-08,3435.375
Sotheby's,lista para construir,364276,6,4,0.22,Avenida de la Constitución 42,Vigo,Asturias,15254,50,2023-07-07,7285.52
Coldwell Banker,lista para la venta,725487,5,2,1.78,Avenida de la Constitución 191,Sevilla,Extremadura,68452,234,2025-03-21,3100.371794871795
Compass,lista para construir,1536098,3,1,1.36,Paseo de la Castellana 117,Barcelona,Asturias,67925,338,2024-04-30,4544.668639053254
Realty One,lista para la venta,502075,2,3,1.32,Ronda de Valencia 54,Málaga,Castilla-La Mancha,51334,124,2024-12-28,4048.9919354838707
Realty One,lista para construir,1245778,2,2,1.69,Avenida de la Constitución 45,Madrid,Canarias,69614,241,2024-03-07,5169.203319502075
Century 21,lista para construir,1317879,1,2,1.84,Calle Alcalá 104,Málaga,Galicia,76441,414,2023-07-22,3183.282608695652
Century 21,lista para construir,1106479,2,1,0.96,Plaza España 75,Málaga,Baleares,75112,382,2024-08-15,2896.5418848167537
Keller Williams,lista para la venta,938036,4,1,1.65,Avenida de la Constitución 104,Málaga,Valencia,76022,264,2023-07-08,3553.1666666666665
Century 21,lista para construir,953829,3,4,0.25,Ronda de Valencia 170,Madrid,Murcia,62595,181,2023-09-13,5269.773480662983
Realty One,lista para construir,196097,1,1,0.6,Plaza España 120,Zaragoza,Canarias,16248,63,2024-06-29,3112.6507936507937
Realty One,lista para la venta,913138,6,2,0.81,Calle Alcalá 170,Zaragoza,Cataluña,89760,367,2023-12-30,2488.114441416894
eXp Realty,lista para la venta,585267,1,2,1.1,Paseo de la Castellana 46,Zaragoza,Madrid,79822,230,2025-04-27,2544.6391304347826
Keller Williams,lista para construir,825660,3,4,0.34,Paseo de la Castellana 51,Madrid,Extremadura,30576,143,2023-08-23,5773.846153846154
Century 21,lista para la venta,1044239,2,2,0.62,Avenida Diagonal 82,Valencia,Galicia,62916,330,2024-11-17,3164.360606060606
Sotheby's,lista para la venta,278728,5,2,1.13,Calle Alcalá 37,Zaragoza,Galicia,81579,69,2024-07-30,4039.536231884058
Sotheby's,lista para la venta,347904,3,3,1.1,Plaza España 140,Córdoba,Madrid,12160,75,2024-12-06,4638.72
Century 21,lista para la venta,566999,2,2,1.02,Paseo de la Castellana 10,Las Palmas,Navarra,68114,173,2023-11-06,3277.450867052023
Realty One,lista para construir,882624,6,2,0.57,Calle Gran Vía 188,Murcia,Madrid,55275,313,2024-06-01,2819.884984025559
Sotheby's,lista para la venta,619495,6,1,1.01,Plaza del Sol 144,Málaga,Valencia,60435,135,2024-04-11,4588.851851851852
Berkshire Hathaway,lista para construir,705106,1,2,1.02,Avenida de la Constitución 57,Alicante,Galicia,89898,306,2024-04-06,2304.267973856209
Realty One,lista para construir,384890,3,2,0.39,Calle Alcalá 123,Valladolid,Galicia,38509,92,2025-01-23,4183.586956521739
Berkshire Hathaway,lista para la venta,1391916,6,3,0.83,Calle Mayor 21,Bilbao,País Vasco,58766,357,2025-04-25,3898.924369747899
Coldwell Banker,lista para la venta,1210919,4,2,0.8,Ronda de Valencia 116,Málaga,Extremadura,40971,420,2024-01-01,2883.140476190476
Berkshire Hathaway,lista para construir,839969,6,3,1.56,Paseo de la Castellana 78,Alicante,Andalucía,64160,273,2024-08-09,3076.809523809524
Realty One,lista para la venta,584250,1,2,0.59,Calle Mayor 27,Alicante,Asturias,68241,261,2024-08-01,2238.5057471264367
Keller Williams,lista para la venta,784014,1,2,1.69,Avenida de la Constitución 13,Las Palmas,Navarra,85371,288,2024-10-31,2722.2708333333335
Compass,lista para la venta,847720,4,2,0.52,Calle Gran Vía 4,Madrid,Andalucía,13045,138,2025-03-26,6142.898550724638
eXp Realty,lista para la venta,1290545,1,1,0.21,Ronda de Valencia 121,Valencia,Valencia,53952,415,2023-10-24,3109.746987951807
Realty One,lista para construir,966384,4,2,0.65,Calle Alcalá 66,Palma,Asturias,76663,362,2023-10-26,2669.5690607734805
Compass,lista para la venta,500224,3,4,1.36,Avenida de la Constitución 120,Málaga,Canarias,48914,127,2024-09-05,3938.771653543307
Coldwell Banker,lista para la venta,1567933,2,3,1.31,Paseo de la Castellana 140,Barcelona,Canarias,30360,342,2023-09-19,4584.599415204679
Sotheby's,lista para la venta,1232168,3,4,1.5,Calle Serrano 6,Madrid,Galicia,20408,236,2023-09-30,5221.050847457627
Century 21,lista para la venta,1587420,5,1,1.59,Plaza España 108,Bilbao,Navarra,75144,465,2023-07-23,3413.8064516129034
Berkshire Hathaway,lista para la venta,937071,1,1,1.98,Avenida de la Constitución 78,Murcia,Valencia,69846,360,2023-06-02,2602.975
Keller Williams,lista para la venta,325268,1,1,1.04,Calle Gran Vía 127,Murcia,Madrid,10766,130,2024-04-11,2502.0615384615385
RE/MAX,lista para construir,834088,5,1,1.58,Calle Mayor 30,Las Palmas,Valencia,94559,286,2024-07-21,2916.3916083916083
RE/MAX,lista para construir,572916,1,2,1.25,Calle Serrano 156,Barcelona,País Vasco,62014,106,2023-12-22,5404.867924528302
Compass,lista para la venta,1528245,5,1,0.93,Ronda de Valencia 123,Barcelona,Asturias,44778,307,2023-11-10,4977.99674267101
Keller Williams,lista para la venta,590940,6,4,0.24,Calle Mayor 9,Córdoba,Murcia,83473,176,2024-10-08,3357.6136363636365
Berkshire Hathaway,lista para la venta,858929,3,3,0.64,Plaza España 36,Málaga,Extremadura,97727,288,2024-10-05,2982.3923611111113
Century 21,lista para la venta,432762,5,3,0.81,Calle Mayor 39,Alicante,Cataluña,45210,97,2024-04-14,4461.4639175257735
Century 21,lista para la venta,665772,6,1,1.96,Ronda de Valencia 59,Valencia,Extremadura,79505,125,2024-09-24,5326.176
Sotheby's,lista para la venta,916708,5,3,0.69,Avenida Diagonal 116,Gijón,Valencia,56649,391,2025-03-09,2344.521739130435
Century 21,lista para construir,825177,1,1,1.41,Plaza del Sol 83,Málaga,Aragón,48775,249,2024-12-04,3313.9638554216867
Sotheby's,lista para la venta,876383,4,4,1.17,Plaza del Sol 184,Córdoba,Cataluña,12465,333,2024-08-12,2631.780780780781
Century 21,lista para construir,1630163,2,3,1.73,Avenida Diagonal 101,Madrid,Asturias,34997,325,2024-09-06,5015.886153846154
RE/MAX,lista para construir,606662,1,2,1.98,Avenida de la Constitución 121,Las Palmas,Navarra,79539,249,2025-03-16,2436.393574297189
Realty One,lista para la venta,584449,1,2,0.77,Ronda de Valencia 37,Zaragoza,Aragón,14361,230,2024-03-25,2541.082608695652
Coldwell Banker,lista para construir,915677,5,3,0.35,Plaza España 94,Alicante,Cataluña,77068,344,2024-06-16,2661.8517441860463
Coldwell Banker,lista para construir,895751,2,2,1.53,Calle Mayor 48,Murcia,Asturias,98422,396,2024-08-27,2261.997474747475
Sotheby's,lista para la venta,739124,1,2,0.25,Avenida Diagonal 182,Barcelona,Cataluña,25601,142,2025-02-26,5205.098591549296
eXp Realty,lista para la venta,790904,2,3,1.6,Plaza del Sol 54,Málaga,Cataluña,42539,207,2024-12-31,3820.792270531401
Coldwell Banker,lista para construir,534907,5,2,0.61,Calle Gran Vía 110,Barcelona,Canarias,56092,83,2023-07-21,6444.6626506024095
Realty One,lista para construir,1185308,2,2,0.92,Avenida de la Constitución 184,Madrid,Castilla y León,30830,220,2023-09-25,5387.763636363637
Compass,lista para construir,616138,1,2,1.05,Avenida Diagonal 7,Murcia,Canarias,55424,236,2024-01-02,2610.7542372881358
Realty One,lista para la venta,959945,5,3,1.17,Calle Gran Vía 103,Sevilla,Galicia,86811,306,2024-11-07,3137.075163398693
Berkshire Hathaway,lista para construir,694571,5,2,0.11,Calle Alcalá 191,Valencia,Murcia,31350,216,2024-07-04,3215.6064814814813
Compass,lista para construir,363440,4,2,0.59,Calle Gran Vía 59,Sevilla,Castilla-La Mancha,12688,81,2023-12-20,4486.913580246914
Sotheby's,lista para construir,873307,2,2,0.59,Calle Mayor 177,Murcia,Navarra,90976,340,2023-08-27,2568.55
Realty One,lista para construir,703975,5,1,1.72,Avenida Diagonal 13,Madrid,País Vasco,59934,96,2024-09-25,7333.072916666667
Keller Williams,lista para la venta,1530167,6,1,1.09,Calle Mayor 165,Bilbao,Valencia,40871,443,2024-10-03,3454.10158013544
eXp Realty,lista para construir,615914,4,1,0.4,Ronda de Valencia 138,Valladolid,Galicia,83819,273,2025-03-22,2256.095238095238
Realty One,lista para la venta,320961,3,3,0.56,Calle Gran Vía 48,Murcia,Andalucía,33517,96,2024-05-16,3343.34375
Berkshire Hathaway,lista para la venta,863722,3,3,1.83,Calle Alcalá 62,Málaga,Galicia,30064,245,2024-05-12,3525.395918367347
RE/MAX,lista para construir,996749,1,2,1.27,Ronda de Valencia 30,Málaga,País Vasco,69139,348,2023-07-27,2864.2212643678163
Berkshire Hathaway,lista para la venta,742537,6,2,1.61,Ronda de Valencia 107,Valladolid,Aragón,39231,260,2023-06-28,2855.9115384615384
Realty One,lista para la venta,991933,1,2,1.68,Plaza España 25,Sevilla,País Vasco,14449,393,2024-03-29,2524.002544529262
Berkshire Hathaway,lista para construir,1122264,3,3,0.44,Calle Alcalá 75,Gijón,Canarias,34686,460,2024-01-12,2439.704347826087
Realty One,lista para construir,1832146,1,1,0.37,Avenida de la Constitución 22,Madrid,Madrid,12950,375,2023-11-23,4885.722666666667
Century 21,lista para construir,1172539,5,1,1.11,Calle Gran Vía 131,Sevilla,Madrid,98177,454,2023-08-04,2582.685022026432
Sotheby's,lista para la venta,860605,1,2,0.71,Calle Gran Vía 49,Madrid,Galicia,82706,162,2025-04-05,5312.376543209876
Sotheby's,lista para la venta,955478,1,1,0.26,Plaza del Sol 139,Palma,Murcia,81949,466,2025-01-07,2050.3819742489272
eXp Realty,lista para construir,1182065,5,3,1.72,Calle Gran Vía 89,Córdoba,Navarra,80347,451,2024-07-08,2620.9866962305987
Realty One,lista para la venta,422366,6,1,1.27,Paseo de la Castellana 167,Murcia,Murcia,93953,94,2025-03-28,4493.255319148936
Coldwell Banker,lista para la venta,368205,5,1,0.12,Plaza España 60,Alicante,Valencia,85953,80,2025-05-01,4602.5625
Sotheby's,lista para la venta,1162369,5,1,1.26,Paseo de la Castellana 97,Palma,Asturias,44712,499,2024-09-14,2329.396793587174
Sotheby's,lista para construir,645404,6,4,1.12,Calle Alcalá 156,Sevilla,Murcia,60040,159,2023-12-06,4059.14465408805
RE/MAX,lista para construir,1093639,1,1,0.16,Calle Gran Vía 175,Sevilla,Castilla-La Mancha,50277,490,2023-06-29,2231.9163265306124
Keller Williams,lista para construir,767380,2,1,0.17,Calle Serrano 20,Alicante,Aragón,51521,329,2024-11-12,2332.4620060790276
Compass,lista para construir,2139423,4,2,1.84,Calle Gran Vía 130,Barcelona,Murcia,23071,458,2024-04-25,4671.229257641921
Realty One,lista para construir,541776,3,4,0.78,Plaza del Sol 129,Murcia,Murcia,50383,173,2024-08-30,3131.6531791907514
eXp Realty,lista para construir,905509,4,4,0.87,Calle Gran Vía 28,Sevilla,Castilla-La Mancha,73494,297,2025-03-04,3048.8518518518517
Realty One,lista para la venta,1010240,6,4,0.41,Avenida de la Constitución 65,Málaga,País Vasco,64693,276,2023-10-06,3660.289855072464
RE/MAX,lista para construir,699100,6,1,1.82,Calle Alcalá 94,Valladolid,Navarra,90189,251,2024-07-15,2785.2589641434265
Coldwell Banker,lista para construir,838254,2,2,0.61,Calle Serrano 71,Las Palmas,País Vasco,80286,347,2024-08-18,2415.7175792507205
Berkshire Hathaway,lista para la venta,755443,5,1,1.26,Plaza España 97,Zaragoza,Aragón,29802,248,2024-05-10,3046.141129032258
Sotheby's,lista para la venta,329964,1,1,1.85,Plaza del Sol 62,Palma,Navarra,47247,53,2023-08-03,6225.735849056604
Berkshire Hathaway,lista para la venta,833317,6,1,1.86,Paseo de la Castellana 133,Murcia,Madrid,63258,295,2024-01-30,2824.8033898305084
Realty One,lista para construir,691359,3,1,0.31,Avenida Diagonal 60,Valladolid,Asturias,26292,310,2024-01-20,2230.190322580645
Realty One,lista para la venta,1376489,2,2,1.72,Avenida de la Constitución 144,Madrid,Murcia,68134,268,2024-09-12,5136.1529850746265
Coldwell Banker,lista para la venta,822342,1,2,0.89,Avenida Diagonal 136,Palma,Murcia,31902,315,2025-01-22,2610.609523809524
Berkshire Hathaway,lista para construir,857886,2,1,1.85,Calle Gran Vía 144,Vigo,País Vasco,95496,308,2024-01-18,2785.344155844156
Berkshire Hathaway,lista para construir,1514101,1,1,1.51,Plaza España 17,Valencia,País Vasco,73988,470,2024-09-29,3221.491489361702
Realty One,lista para la venta,1947595,2,2,1.31,Avenida de la Constitución 87,Barcelona,País Vasco,98693,430,2023-12-20,4529.290697674419
Sotheby's,lista para la venta,926034,4,3,0.46,Calle Gran Vía 152,Zaragoza,Baleares,63248,361,2025-03-24,2565.191135734072
Sotheby's,lista para construir,1106495,5,2,0.78,Calle Gran Vía 183,Valladolid,Galicia,47573,467,2024-12-22,2369.368308351178
Century 21,lista para la venta,310729,3,1,0.1,Ronda de Valencia 158,Córdoba,Andalucía,97441,112,2024-06-20,2774.3660714285716
Realty One,lista para construir,1192408,5,3,0.98,Avenida Diagonal 57,Alicante,Asturias,34508,477,2024-04-14,2499.8071278825996
RE/MAX,lista para construir,862433,4,4,1.44,Avenida de la Constitución 77,Murcia,Canarias,75765,296,2024-01-07,2913.625
Realty One,lista para la venta,840560,4,2,1.32,Calle Alcalá 2,Palma,Navarra,21172,317,2024-01-13,2651.608832807571
RE/MAX,lista para la venta,461550,2,1,1.09,Calle Alcalá 150,Murcia,Navarra,14224,196,2025-04-11,2354.8469387755104
Berkshire Hathaway,lista para construir,662747,2,2,1.89,Calle Mayor 10,Las Palmas,Aragón,76711,235,2024-03-10,2820.2
eXp Realty,lista para la venta,497328,5,4,1.36,Calle Serrano 189,Valladolid,Castilla y León,96232,151,2024-05-26,3293.562913907285
Century 21,lista para la venta,1500254,6,3,1.62,Calle Gran Vía 131,Barcelona,Cataluña,57648,304,2025-04-23,4935.046052631579
Compass,lista para construir,382478,3,1,1.18,Paseo de la Castellana 199,Alicante,Galicia,42045,109,2024-09-04,3508.97247706422
Century 21,lista para la venta,642963,3,3,0.37,Calle Gran Vía 166,Córdoba,Valencia,14362,227,2024-06-15,2832.4361233480176
Sotheby's,lista para construir,730285,1,1,0.3,Ronda de Valencia 57,Alicante,Madrid,49585,338,2024-03-16,2160.6065088757396
Sotheby's,lista para la venta,342141,1,2,1.94,Plaza del Sol 107,Gijón,Aragón,66398,60,2023-10-10,5702.35
Century 21,lista para la venta,486791,2,1,0.61,Ronda de Valencia 150,Palma,País Vasco,30634,164,2024-02-09,2968.237804878049
Berkshire Hathaway,lista para la venta,2095676,4,2,0.55,Avenida de la Constitución 18,Madrid,Cataluña,50291,425,2024-11-12,4931.0023529411765
Century 21,lista para la venta,1621502,5,3,1.62,Calle Mayor 119,Bilbao,Castilla-La Mancha,82327,453,2024-08-12,3579.474613686534
Keller Williams,lista para construir,742752,1,2,1.35,Ronda de Valencia 189,Córdoba,Castilla y León,92808,269,2024-11-14,2761.1598513011154
eXp Realty,lista para construir,812739,2,3,1.5,Plaza España 85,Sevilla,Cataluña,72011,275,2023-10-21,2955.4145454545455
Coldwell Banker,lista para construir,763420,5,4,1.69,Avenida de la Constitución 29,Murcia,Castilla-La Mancha,18490,262,2024-06-20,2913.8167938931297
eXp Realty,lista para construir,877581,1,1,0.35,Plaza del Sol 5,Valladolid,Murcia,38587,412,2025-03-12,2130.0509708737864
eXp Realty,lista para la venta,668315,1,2,1.71,Ronda de Valencia 75,Madrid,Andalucía,65340,104,2024-04-03,6426.1057692307695
RE/MAX,lista para construir,1212921,4,1,1.37,Paseo de la Castellana 120,Bilbao,Galicia,17325,338,2024-10-02,3588.523668639053
Realty One,lista para construir,632843,3,3,1.46,Calle Alcalá 177,Sevilla,Extremadura,34559,196,2023-08-25,3228.7908163265306
RE/MAX,lista para construir,1193704,6,3,1.55,Calle Serrano 79,Málaga,Valencia,96182,355,2025-04-13,3362.5464788732393
eXp Realty,lista para la venta,804015,3,3,0.73,Paseo de la Castellana 62,Córdoba,Extremadura,26210,333,2024-07-31,2414.4594594594596
Coldwell Banker,lista para construir,519340,2,1,1.15,Calle Serrano 155,Palma,Asturias,42553,164,2023-11-15,3166.7073170731705
Berkshire Hathaway,lista para construir,1525052,4,3,0.87,Avenida de la Constitución 186,Madrid,Baleares,22947,288,2023-09-20,5295.319444444444
Sotheby's,lista para la venta,1370674,3,3,1.03,Plaza España 181,Bilbao,Galicia,52769,381,2024-06-21,3597.5695538057744
RE/MAX,lista para la venta,904734,3,1,1.26,Paseo de la Castellana 29,Bilbao,Valencia,67401,227,2024-06-22,3985.6123348017622
Berkshire Hathaway,lista para la venta,273052,2,3,0.47,Ronda de Valencia 169,Sevilla,Asturias,81753,89,2023-08-05,3068.0
Coldwell Banker,lista para la venta,323706,1,2,1.18,Calle Alcalá 190,Sevilla,Aragón,32632,67,2025-04-26,4831.432835820896
eXp Realty,lista para la venta,796980,5,3,1.37,Calle Gran Vía 55,Palma,Asturias,61336,242,2025-03-01,3293.305785123967
Compass,lista para construir,1122651,2,1,1.5,Avenida de la Constitución 102,Valencia,Baleares,66785,351,2024-04-19,3198.4358974358975
eXp Realty,lista para la venta,963040,6,1,1.89,Avenida Diagonal 170,Las Palmas,Valencia,12322,353,2023-08-22,2728.158640226629
Berkshire Hathaway,lista para construir,1285956,4,2,0.12,Calle Mayor 115,Madrid,Extremadura,79379,259,2025-01-04,4965.081081081081
Sotheby's,lista para la venta,1314959,3,2,0.87,Plaza España 137,Málaga,Castilla y León,27494,473,2024-05-15,2780.040169133192
Sotheby's,lista para construir,776798,1,2,1.22,Ronda de Valencia 124,Vigo,Murcia,80366,327,2024-10-15,2375.5290519877676
eXp Realty,lista para la venta,1035851,2,1,1.4,Avenida de la Constitución 14,Madrid,Navarra,80869,186,2024-05-22,5569.091397849463
Berkshire Hathaway,lista para construir,1278172,4,4,1.27,Calle Serrano 195,Bilbao,Baleares,21038,346,2023-12-09,3694.1387283236995
Compass,lista para construir,921494,5,3,0.27,Plaza España 30,Bilbao,Asturias,62277,247,2025-01-06,3730.744939271255
Keller Williams,lista para la venta,374244,2,1,1.28,Calle Mayor 75,Sevilla,Asturias,10789,131,2025-04-18,2856.8244274809163
eXp Realty,lista para construir,316845,3,3,0.78,Paseo de la Castellana 187,Gijón,Asturias,55594,68,2023-11-18,4659.485294117647
Realty One,lista para construir,475122,1,1,0.56,Paseo de la Castellana 31,Alicante,Castilla y León,22138,178,2024-06-21,2669.224719101124
Sotheby's,lista para la venta,2277011,2,3,1.49,Plaza España 137,Barcelona,Galicia,31270,483,2024-02-24,4714.308488612836
Compass,lista para construir,641568,5,3,1.85,Calle Serrano 30,Murcia,Valencia,44117,186,2025-03-08,3449.2903225806454
Coldwell Banker,lista para la venta,479492,3,4,1.31,Avenida de la Constitución 40,Sevilla,Andalucía,33256,106,2024-05-22,4523.509433962264
Sotheby's,lista para construir,655206,5,4,1.53,Ronda de Valencia 186,Sevilla,Asturias,41820,201,2025-02-06,3259.731343283582
Compass,lista para la venta,764423,6,1,1.0,Calle Mayor 97,Zaragoza,Asturias,33894,301,2025-01-26,2539.611295681063
eXp Realty,lista para la venta,592837,1,2,1.1,Avenida Diagonal 21,Las Palmas,Asturias,70682,236,2023-12-11,2512.021186440678
Realty One,lista para la venta,1090531,1,2,0.87,Ronda de Valencia 82,Valladolid,Asturias,20298,463,2024-12-05,2355.3585313174945
Compass,lista para la venta,550736,4,1,1.44,Avenida de la Constitución 58,Córdoba,Extremadura,62255,167,2024-03-17,3297.820359281437
Compass,lista para la venta,443524,1,2,0.17,Calle Gran Vía 192,Murcia,Cataluña,57779,213,2025-03-16,2082.2723004694835
RE/MAX,lista para construir,1201920,5,3,1.47,Calle Alcalá 102,Palma,Aragón,37308,485,2024-05-21,2478.185567010309
Realty One,lista para la venta,385074,4,3,1.05,Calle Serrano 100,Murcia,Cataluña,40375,107,2024-12-27,3598.822429906542
Berkshire Hathaway,lista para construir,518216,3,3,1.61,Calle Serrano 84,Vigo,Cataluña,57765,137,2023-12-16,3782.598540145985
Sotheby's,lista para construir,242093,3,4,0.99,Plaza España 34,Córdoba,Valencia,84975,55,2023-12-27,4401.690909090909
Compass,lista para construir,968691,1,1,0.94,Calle Gran Vía 141,Bilbao,Aragón,10387,292,2024-07-16,3317.4349315068494
Century 21,lista para la venta,604938,2,1,0.96,Calle Alcalá 196,Alicante,Aragón,89740,229,2025-05-01,2641.650655021834
Berkshire Hathaway,lista para construir,332598,5,3,1.16,Ronda de Valencia 79,Vigo,Canarias,22887,55,2024-05-09,6047.236363636363
Sotheby's,lista para la venta,493901,5,1,1.38,Plaza del Sol 178,Vigo,Navarra,83367,129,2023-09-13,3828.68992248062
eXp Realty,lista para construir,1025233,1,1,1.07,Calle Serrano 121,Málaga,Asturias,58635,340,2024-06-12,3015.391176470588
Century 21,lista para la venta,904455,6,3,1.55,Paseo de la Castellana 28,Zaragoza,Murcia,61040,284,2024-01-28,3184.700704225352
Compass,lista para la venta,794573,2,1,0.61,Ronda de Valencia 27,Gijón,Andalucía,90529,368,2024-06-21,2159.165760869565
eXp Realty,lista para construir,356538,4,2,0.73,Calle Gran Vía 2,Alicante,Castilla y León,31701,123,2024-06-15,2898.682926829268
Sotheby's,lista para construir,1461052,2,2,0.43,Calle Alcalá 47,Valencia,País Vasco,57824,475,2024-04-15,3075.898947368421
eXp Realty,lista para la venta,724026,5,3,1.77,Ronda de Valencia 90,Murcia,Baleares,37779,261,2024-01-12,2774.0459770114944
RE/MAX,lista para la venta,1228303,1,2,1.16,Ronda de Valencia 188,Barcelona,Castilla-La Mancha,45540,262,2023-10-11,4688.179389312977
Sotheby's,lista para construir,1045997,6,1,0.57,Avenida Diagonal 19,Gijón,Baleares,35065,399,2024-10-01,2621.5463659147867
Keller Williams,lista para la venta,568733,1,2,1.67,Plaza del Sol 85,Murcia,Valencia,46013,214,2024-07-05,2657.6308411214955
Century 21,lista para construir,1155098,5,4,0.82,Paseo de la Castellana 113,Vigo,Galicia,29239,461,2023-11-11,2505.6355748373103
Realty One,lista para construir,1108783,6,1,1.45,Avenida de la Constitución 26,Zaragoza,Valencia,63045,458,2024-11-25,2420.9235807860264
eXp Realty,lista para la venta,752473,5,4,0.4,Calle Mayor 39,Palma,Castilla-La Mancha,94091,241,2023-07-01,3122.294605809129
Compass,lista para construir,1062754,4,1,0.97,Calle Mayor 7,Zaragoza,Madrid,78915,477,2024-11-04,2227.9958071278825
RE/MAX,lista para la venta,627069,1,1,1.11,Plaza del Sol 124,Alicante,Navarra,72864,259,2024-10-07,2421.1158301158302
Keller Williams,lista para construir,2221652,3,1,0.89,Calle Serrano 13,Madrid,Murcia,92454,464,2024-12-20,4788.043103448276
RE/MAX,lista para construir,1504296,2,1,1.2,Ronda de Valencia 23,Bilbao,Castilla-La Mancha,24028,452,2024-02-26,3328.0884955752213
Berkshire Hathaway,lista para la venta,1540071,5,3,0.56,Plaza España 11,Madrid,Aragón,54673,291,2024-09-08,5292.340206185567
Realty One,lista para la venta,435293,5,2,0.82,Calle Alcalá 135,Gijón,Aragón,37842,154,2024-12-27,2826.5779220779223
RE/MAX,lista para construir,775261,3,3,0.58,Ronda de Valencia 12,Barcelona,Navarra,54363,139,2025-04-18,5577.417266187051
RE/MAX,lista para construir,376908,5,1,0.17,Avenida Diagonal 197,Las Palmas,Baleares,98593,134,2024-05-13,2812.7462686567164
