brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Compass,lista para la venta,837876,4,2,1.66,Ronda de Valencia 181,Madrid,Asturias,34328,147,2023-09-25
Keller Williams,lista para construir,414373,2,1,1.16,Calle Mayor 49,Alicante,Valencia,90639,124,2024-01-02
Berkshire Hathaway,lista para construir,1179210,6,1,0.86,Calle Mayor 58,Las Palmas,Aragón,34395,479,2024-11-07
Compass,lista para construir,887232,1,1,1.8,Plaza España 61,Palma,Madrid,31484,389,2024-07-04
Keller Williams,lista para la venta,536388,2,1,1.68,Plaza España 109,Málaga,Andalucía,77945,157,2023-12-20
Sotheby's,lista para construir,907702,5,4,0.45,Plaza del Sol 187,Bilbao,Aragón,40551,241,2023-08-27
Sotheby's,lista para la venta,861655,6,1,0.36,Calle Serrano 71,Madrid,Valencia,56662,138,2024-09-25
Berkshire Hathaway,lista para la venta,496156,5,4,1.39,Ronda de Valencia 34,Gijón,Extremadura,90686,121,2024-10-03
Compass,lista para construir,877461,6,3,0.16,Calle Gran Vía 4,Málaga,País Vasco,57279,267,2025-03-22
Sotheby's,lista para la venta,394548,1,2,1.12,Calle Alcalá 53,Gijón,Baleares,46125,157,2024-05-16
Keller Williams,lista para la venta,454374,5,3,1.43,Calle Alcalá 57,Palma,Baleares,67814,102,2024-05-12
Compass,lista para construir,368848,3,3,0.81,Calle Mayor 185,Barcelona,Navarra,72673,60,2023-07-27
Compass,lista para construir,683146,2,2,0.17,Plaza España 89,Vigo,Cataluña,59787,265,2023-06-28
Sotheby's,lista para construir,587627,3,3,1.8,Paseo de la Castellana 51,Valencia,Asturias,80068,149,2024-03-29
Compass,lista para construir,567202,5,1,0.98,Calle Mayor 133,Gijón,País Vasco,83263,210,2024-01-12
RE/MAX,lista para construir,534997,2,2,1.59,Ronda de Valencia 73,Valladolid,Canarias,70533,164,2023-11-23
Realty One,lista para la venta,727045,3,4,1.29,Calle Gran Vía 83,Zaragoza,Murcia,21504,239,2023-08-04
Realty One,lista para la venta,546938,5,4,1.82,Calle Mayor 40,Madrid,Cataluña,37794,58,2025-04-05
Sotheby's,lista para construir,1042145,5,3,1.01,Paseo de la Castellana 129,Murcia,Baleares,62505,406,2025-01-07
RE/MAX,lista para construir,1610313,4,4,0.47,Ronda de Valencia 173,Bilbao,Murcia,87856,451,2024-07-08
Keller Williams,lista para la venta,797229,1,1,0.11,Paseo de la Castellana 54,Las Palmas,Asturias,56073,403,2025-03-28
Coldwell Banker,lista para la venta,427231,5,3,0.2,Calle Gran Vía 72,Gijón,Baleares,73452,156,2025-05-01
Realty One,lista para la venta,511833,2,1,1.28,Calle Mayor 180,Valladolid,Murcia,27355,185,2024-09-14
eXp Realty,lista para construir,421827,1,2,0.18,Calle Mayor 58,Sevilla,Cataluña,72359,183,2023-12-06
Coldwell Banker,lista para la venta,248928,1,1,1.18,Calle Serrano 65,Gijón,Asturias,48257,51,2023-06-29
Realty One,lista para la venta,1097299,1,2,0.87,Avenida de la Constitución 31,Las Palmas,Valencia,46345,459,2024-11-12
eXp Realty,lista para la venta,1038410,1,1,0.85,Calle Serrano 103,Palma,País Vasco,33827,437,2024-04-25
Coldwell Banker,lista para la venta,1130512,3,4,0.39,Calle Alcalá 127,Palma,Navarra,16351,477,2024-08-30
Compass,lista para construir,2060416,2,1,1.45,Calle Alcalá 55,Madrid,Castilla-La Mancha,82935,408,2025-03-04
Coldwell Banker,lista para construir,856022,4,1,1.26,Avenida Diagonal 109,Sevilla,Aragón,52257,306,2023-10-06
Century 21,lista para construir,1394351,2,3,1.21,Calle Serrano 99,Madrid,Andalucía,20884,264,2024-07-15
Coldwell Banker,lista para la venta,727507,5,3,0.28,Paseo de la Castellana 153,Córdoba,Castilla y León,36604,270,2024-08-18
Realty One,lista para construir,1214394,4,4,1.37,Plaza España 85,Vigo,Canarias,97839,466,2024-05-10
RE/MAX,lista para construir,1009977,3,3,0.21,Plaza España 32,Las Palmas,Aragón,95875,468,2023-08-03
Century 21,lista para construir,420801,2,1,1.7,Avenida de la Constitución 80,Valladolid,Galicia,18463,101,2024-01-30
Realty One,lista para la venta,535997,6,4,0.42,Calle Mayor 171,Alicante,Andalucía,37168,128,2024-01-20
Century 21,lista para la venta,1225720,2,1,0.73,Ronda de Valencia 59,Bilbao,Murcia,44001,353,2024-09-12
Century 21,lista para la venta,531921,2,2,0.48,Calle Mayor 1,Palma,Cataluña,91750,208,2025-01-22
Realty One,lista para construir,1071431,1,2,1.98,Calle Mayor 15,Valladolid,Castilla y León,95191,478,2024-01-18
RE/MAX,lista para construir,639447,2,2,0.24,Calle Mayor 131,Málaga,Valencia,22035,226,2024-09-29
Sotheby's,lista para construir,1963114,2,2,0.38,Plaza del Sol 150,Madrid,Castilla y León,39175,412,2023-12-20
RE/MAX,lista para construir,887474,5,4,0.4,Calle Alcalá 88,Alicante,Navarra,50810,325,2025-03-24
Compass,lista para construir,552843,5,3,1.73,Calle Alcalá 169,Sevilla,Galicia,27463,129,2024-12-22
Realty One,lista para la venta,1198381,5,1,0.3,Paseo de la Castellana 145,Palma,Valencia,47888,498,2024-06-20
Compass,lista para construir,683569,2,3,1.83,Plaza del Sol 143,Córdoba,Asturias,71532,211,2024-04-14
Realty One,lista para construir,1231365,3,3,1.15,Plaza del Sol 73,Valencia,Madrid,27606,390,2024-01-07
Keller Williams,lista para construir,481961,6,2,1.18,Avenida de la Constitución 128,Málaga,Galicia,71577,93,2024-01-13
Keller Williams,lista para la venta,570037,4,4,1.69,Plaza España 84,Sevilla,Galicia,79107,166,2025-04-11
Realty One,lista para construir,746637,1,2,0.6,Calle Mayor 94,Barcelona,Navarra,97107,146,2024-03-10
Realty One,lista para la venta,1141758,2,2,1.77,Plaza del Sol 58,Murcia,Baleares,57248,460,2024-05-26
RE/MAX,lista para construir,672677,4,1,1.2,Avenida de la Constitución 28,Zaragoza,Extremadura,49082,274,2025-04-23
Sotheby's,lista para construir,1122579,6,2,0.69,Paseo de la Castellana 63,Las Palmas,Castilla y León,12580,481,2024-09-04
Compass,lista para construir,384109,6,4,1.67,Avenida Diagonal 102,Córdoba,Andalucía,24917,76,2024-06-15
RE/MAX,lista para construir,620630,1,2,1.21,Plaza del Sol 144,Valladolid,Castilla-La Mancha,38932,207,2024-03-16
Coldwell Banker,lista para la venta,529050,6,4,1.0,Calle Gran Vía 139,Alicante,Galicia,86775,145,2023-10-10
Coldwell Banker,lista para construir,1037071,1,1,1.14,Avenida Diagonal 3,Murcia,Murcia,69296,479,2024-02-09
Century 21,lista para la venta,1192778,6,2,1.07,Calle Alcalá 179,Sevilla,Murcia,37986,451,2024-11-12
Sotheby's,lista para la venta,1668683,6,4,0.24,Paseo de la Castellana 92,Bilbao,Murcia,93196,449,2024-08-12
Compass,lista para la venta,407246,1,2,0.25,Avenida de la Constitución 19,Valencia,Valencia,65638,97,2024-11-14
Berkshire Hathaway,lista para la venta,401611,1,2,0.45,Plaza España 61,Las Palmas,Murcia,69565,136,2023-10-21
Realty One,lista para construir,1776761,1,2,1.11,Plaza del Sol 58,Madrid,Aragón,60335,367,2024-06-20
eXp Realty,lista para construir,499388,6,4,1.17,Plaza del Sol 88,Palma,Cataluña,98508,148,2025-03-12
Coldwell Banker,lista para la venta,564220,1,1,1.72,Paseo de la Castellana 56,Vigo,Murcia,54576,193,2024-04-03
Coldwell Banker,lista para la venta,676713,4,1,0.8,Ronda de Valencia 197,Zaragoza,Cataluña,23878,243,2024-10-02
Compass,lista para construir,1108707,6,3,0.48,Plaza del Sol 146,Palma,Galicia,72989,421,2023-08-25
eXp Realty,lista para construir,823766,2,1,1.85,Calle Gran Vía 101,Málaga,Valencia,65477,223,2025-04-13
eXp Realty,lista para la venta,1328448,5,4,0.47,Calle Gran Vía 162,Sevilla,Baleares,21775,489,2024-07-31
eXp Realty,lista para la venta,740564,5,2,0.45,Calle Mayor 55,Las Palmas,Valencia,88558,285,2023-11-15
Sotheby's,lista para construir,1247427,2,3,0.38,Calle Gran Vía 156,Málaga,País Vasco,86629,445,2023-09-20
Coldwell Banker,lista para construir,912594,2,1,1.75,Avenida de la Constitución 175,Valladolid,Aragón,44588,404,2024-06-21
Century 21,lista para la venta,313705,2,2,0.11,Calle Mayor 17,Valladolid,Castilla-La Mancha,99605,84,2024-06-22
eXp Realty,lista para la venta,1144060,2,2,1.42,Calle Alcalá 1,Valladolid,País Vasco,32068,473,2023-08-05
Berkshire Hathaway,lista para construir,888514,6,2,0.8,Avenida de la Constitución 195,Murcia,Madrid,65268,327,2025-04-26
Compass,lista para la venta,511179,1,2,0.76,Calle Serrano 26,Sevilla,Castilla y León,71399,159,2025-03-01
Berkshire Hathaway,lista para la venta,476485,2,3,1.22,Avenida de la Constitución 151,Bilbao,Asturias,56703,94,2024-04-19
Century 21,lista para la venta,2012858,3,2,0.18,Calle Mayor 185,Barcelona,Galicia,51534,464,2023-08-22
Century 21,lista para la venta,1044831,5,4,1.32,Ronda de Valencia 75,Zaragoza,Asturias,77553,389,2025-01-04
Sotheby's,lista para la venta,1502328,5,3,0.69,Calle Mayor 136,Bilbao,Canarias,32336,430,2024-05-15
Century 21,lista para la venta,2276858,2,3,1.64,Plaza del Sol 165,Barcelona,Baleares,59202,497,2024-10-15
Compass,lista para la venta,247310,4,3,0.21,Plaza del Sol 101,Gijón,País Vasco,70764,78,2024-05-22
RE/MAX,lista para la venta,582505,2,1,0.25,Avenida de la Constitución 66,Palma,Canarias,99190,244,2023-12-09
Keller Williams,lista para construir,789994,1,2,0.65,Plaza del Sol 2,Sevilla,Asturias,29284,300,2025-01-06
Sotheby's,lista para construir,849015,2,2,1.02,Avenida Diagonal 11,Alicante,Murcia,66041,325,2025-04-18
Sotheby's,lista para la venta,1043633,4,3,1.88,Paseo de la Castellana 1,Valladolid,Aragón,54462,424,2023-11-18
Century 21,lista para construir,1377777,3,4,1.38,Plaza del Sol 98,Barcelona,Madrid,16950,289,2024-06-21
Berkshire Hathaway,lista para la venta,829678,1,2,0.52,Calle Alcalá 17,Zaragoza,Navarra,36102,378,2024-02-24
eXp Realty,lista para construir,553117,2,3,1.21,Plaza España 196,Alicante,Aragón,73811,200,2025-03-08
eXp Realty,lista para la venta,1876228,6,4,0.82,Calle Gran Vía 169,Barcelona,País Vasco,64721,387,2024-05-22
Coldwell Banker,lista para construir,779560,4,1,0.96,Calle Gran Vía 134,Valencia,Baleares,14549,230,2025-02-06
Keller Williams,lista para la venta,976056,1,2,1.98,Calle Gran Vía 100,Valencia,Navarra,67581,306,2025-01-26
Compass,lista para construir,262647,1,2,0.18,Plaza España 83,Las Palmas,Aragón,62916,62,2023-12-11
Realty One,lista para construir,1020079,3,3,1.74,Paseo de la Castellana 187,Las Palmas,Valencia,26643,413,2024-12-05
Realty One,lista para la venta,616493,5,2,0.43,Plaza España 119,Málaga,Aragón,89301,149,2024-03-17
Century 21,lista para construir,604656,4,1,0.85,Calle Serrano 179,Bilbao,Aragón,95410,136,2025-03-16
Berkshire Hathaway,lista para la venta,609946,1,1,0.75,Calle Gran Vía 19,Málaga,Navarra,99046,194,2024-05-21
Realty One,lista para construir,739615,1,2,1.87,Avenida Diagonal 162,Madrid,Cataluña,16452,129,2024-12-27
RE/MAX,lista para la venta,705373,6,1,1.14,Calle Mayor 90,Madrid,Asturias,40753,101,2023-12-16
Compass,lista para la venta,468572,3,3,0.4,Calle Serrano 179,Zaragoza,Navarra,47531,156,2023-12-27
RE/MAX,lista para la venta,780733,5,3,0.23,Calle Gran Vía 6,Murcia,Galicia,19162,269,2024-07-16
Realty One,lista para construir,1101839,2,3,1.94,Ronda de Valencia 163,Alicante,Baleares,17173,457,2025-05-01
eXp Realty,lista para construir,562361,3,3,1.71,Plaza España 88,Valencia,Castilla-La Mancha,46539,147,2024-05-09
Century 21,lista para la venta,451303,4,2,1.03,Plaza del Sol 174,Sevilla,Canarias,27001,104,2023-09-13
Coldwell Banker,lista para construir,640618,6,1,1.96,Calle Alcalá 141,Córdoba,Castilla y León,11879,206,2024-06-12
Keller Williams,lista para la venta,401434,5,1,1.62,Plaza España 80,Zaragoza,Cataluña,71308,53,2024-01-28
RE/MAX,lista para construir,987333,6,4,1.5,Avenida de la Constitución 24,Zaragoza,Extremadura,98708,371,2024-06-21
Compass,lista para la venta,1658622,2,3,1.11,Plaza del Sol 66,Bilbao,Castilla-La Mancha,45241,491,2024-06-15
Realty One,lista para la venta,1305736,1,1,0.19,Calle Alcalá 157,Valencia,País Vasco,99276,460,2024-04-15
Compass,lista para la venta,355142,1,1,1.37,Calle Alcalá 197,Córdoba,Extremadura,97320,94,2024-01-12
Century 21,lista para la venta,622637,4,3,1.05,Plaza España 67,Bilbao,Baleares,59022,154,2023-10-11
Century 21,lista para la venta,774537,6,2,1.32,Calle Alcalá 84,Palma,Castilla-La Mancha,55553,242,2024-10-01
RE/MAX,lista para construir,1242664,1,1,1.35,Avenida Diagonal 138,Málaga,Andalucía,16159,436,2024-07-05
Keller Williams,lista para la venta,612910,6,1,0.47,Paseo de la Castellana 36,Valencia,Extremadura,47457,173,2023-11-11
eXp Realty,lista para construir,407875,4,3,1.71,Avenida de la Constitución 162,Murcia,Baleares,44463,103,2024-11-25
RE/MAX,lista para la venta,668902,2,3,0.17,Paseo de la Castellana 164,Gijón,Castilla y León,80313,253,2023-07-01
eXp Realty,lista para la venta,541323,1,2,1.21,Avenida de la Constitución 133,Vigo,Aragón,61873,174,2024-11-04
Realty One,lista para construir,1055744,3,2,0.93,Calle Alcalá 30,Las Palmas,Castilla-La Mancha,65687,435,2024-10-07
eXp Realty,lista para la venta,968216,3,2,0.33,Plaza España 99,Alicante,Extremadura,28653,401,2024-12-20
Realty One,lista para construir,1107168,5,1,0.93,Plaza del Sol 4,Madrid,Cataluña,56081,193,2024-02-26
Compass,lista para la venta,1347082,5,4,1.6,Avenida de la Constitución 65,Bilbao,Asturias,66419,326,2024-09-08
Compass,lista para construir,1293878,6,3,1.17,Plaza del Sol 62,Madrid,Valencia,52390,231,2024-12-27
Century 21,lista para la venta,985771,3,4,1.11,Paseo de la Castellana 170,Zaragoza,Aragón,59861,430,2025-04-18
RE/MAX,lista para la venta,979858,4,1,0.55,Ronda de Valencia 43,Murcia,Navarra,27033,451,2024-05-13
Century 21,lista para la venta,909061,5,2,1.42,Calle Serrano 161,Murcia,Castilla y León,50901,343,2023-06-26
Sotheby's,lista para construir,1140950,1,2,0.89,Calle Alcalá 157,Barcelona,Madrid,77370,230,2024-05-18
Century 21,lista para construir,851895,3,3,0.27,Calle Gran Vía 89,Vigo,Baleares,29615,385,2024-07-18
Realty One,lista para construir,619790,3,2,1.18,Avenida de la Constitución 39,Málaga,Castilla y León,40644,153,2025-01-30
Coldwell Banker,lista para la venta,1916567,4,1,0.89,Plaza del Sol 30,Barcelona,Canarias,65916,413,2025-02-02
Keller Williams,lista para construir,1795118,2,3,0.98,Paseo de la Castellana 170,Madrid,Murcia,55520,371,2024-04-04
Berkshire Hathaway,lista para la venta,466948,3,1,1.75,Avenida de la Constitución 15,Valladolid,Murcia,72512,125,2024-06-03
Sotheby's,lista para la venta,1882722,4,1,1.15,Calle Gran Vía 73,Barcelona,Baleares,57798,417,2024-04-16
RE/MAX,lista para la venta,1034413,5,2,1.75,Ronda de Valencia 43,Sevilla,Andalucía,12058,385,2024-10-19
Keller Williams,lista para construir,490443,6,4,1.78,Calle Mayor 77,Sevilla,Murcia,43138,106,2024-03-14
RE/MAX,lista para construir,1219679,4,4,1.67,Avenida Diagonal 113,Sevilla,Andalucía,85187,456,2024-09-02
Coldwell Banker,lista para la venta,559549,5,4,1.2,Calle Serrano 18,Vigo,Aragón,11726,190,2023-09-17
Coldwell Banker,lista para la venta,621369,6,4,0.12,Avenida de la Constitución 174,Gijón,Asturias,93506,174,2024-04-25
Berkshire Hathaway,lista para la venta,418306,4,4,0.67,Paseo de la Castellana 127,Valencia,Andalucía,96944,92,2025-04-10
RE/MAX,lista para la venta,989388,6,4,0.82,Avenida de la Constitución 91,Córdoba,Galicia,59059,407,2024-01-24
eXp Realty,lista para construir,1223250,3,1,1.59,Avenida de la Constitución 5,Murcia,País Vasco,93712,499,2024-09-28
Realty One,lista para construir,574827,6,3,1.55,Plaza España 60,Palma,Canarias,76994,156,2024-08-29
RE/MAX,lista para la venta,456885,4,2,0.92,Paseo de la Castellana 57,Madrid,Navarra,33383,71,2025-01-18
Century 21,lista para construir,1453468,2,2,1.28,Plaza del Sol 54,Barcelona,Galicia,53921,301,2025-01-18
Coldwell Banker,lista para la venta,330141,1,2,0.23,Ronda de Valencia 81,Bilbao,País Vasco,44362,84,2025-01-23
Century 21,lista para construir,1162805,2,3,0.38,Avenida de la Constitución 70,Sevilla,País Vasco,64800,486,2024-02-22
Coldwell Banker,lista para la venta,740049,2,1,0.12,Paseo de la Castellana 16,Bilbao,Extremadura,78282,233,2024-01-08
Keller Williams,lista para la venta,364937,4,4,1.41,Calle Alcalá 114,Sevilla,Galicia,46688,82,2024-10-16
Century 21,lista para construir,1068028,5,4,0.86,Calle Gran Vía 102,Valladolid,País Vasco,59001,424,2024-11-14
eXp Realty,lista para la venta,851299,2,1,0.47,Calle Alcalá 165,Vigo,Castilla y León,66584,409,2025-02-01
Sotheby's,lista para la venta,622411,5,4,1.21,Avenida de la Constitución 5,Alicante,Murcia,37899,171,2023-06-26
RE/MAX,lista para construir,1097000,3,4,0.76,Calle Gran Vía 180,Valladolid,Canarias,10789,454,2023-07-18
Keller Williams,lista para la venta,423857,1,2,1.86,Ronda de Valencia 166,Valencia,Castilla-La Mancha,20145,68,2024-08-16
Realty One,lista para la venta,882521,6,2,1.33,Plaza del Sol 83,Zaragoza,Navarra,86877,332,2025-03-07
Coldwell Banker,lista para construir,568098,2,1,1.14,Paseo de la Castellana 154,Málaga,Galicia,57062,143,2025-04-30
RE/MAX,lista para la venta,350073,3,1,0.45,Calle Alcalá 80,Vigo,Asturias,19600,102,2024-11-05
eXp Realty,lista para la venta,338469,4,4,0.86,Calle Gran Vía 71,Murcia,Asturias,41085,91,2024-03-31
Century 21,lista para la venta,450341,2,3,0.77,Ronda de Valencia 183,Córdoba,Valencia,12636,117,2023-08-09
Compass,lista para construir,1718526,3,2,1.46,Plaza España 111,Bilbao,Baleares,29410,473,2024-08-18
Berkshire Hathaway,lista para la venta,906875,1,1,0.98,Plaza del Sol 37,Gijón,Galicia,69325,366,2025-02-01
RE/MAX,lista para la venta,1041592,6,1,0.93,Plaza del Sol 70,Bilbao,Baleares,92097,289,2024-04-07
Realty One,lista para la venta,998861,2,3,0.72,Ronda de Valencia 123,Valladolid,Cataluña,61264,445,2024-09-29
Sotheby's,lista para construir,2047923,4,4,1.82,Plaza España 123,Barcelona,Asturias,31383,439,2025-02-23
eXp Realty,lista para construir,477422,5,2,1.31,Plaza España 87,Valencia,Baleares,77521,88,2023-07-03
Sotheby's,lista para construir,1001635,2,3,1.29,Calle Gran Vía 179,Palma,Extremadura,63187,445,2024-12-10
Berkshire Hathaway,lista para la venta,370776,4,1,1.41,Paseo de la Castellana 66,Alicante,Castilla-La Mancha,90981,125,2023-12-23
RE/MAX,lista para construir,521038,1,1,0.39,Paseo de la Castellana 140,Gijón,Valencia,29489,246,2024-02-18
Berkshire Hathaway,lista para la venta,885493,2,2,1.84,Plaza del Sol 144,Vigo,País Vasco,88333,328,2023-09-11
Compass,lista para construir,1089456,6,3,0.6,Paseo de la Castellana 70,Alicante,Asturias,47304,424,2024-06-07
Coldwell Banker,lista para la venta,830851,5,2,1.72,Calle Mayor 47,Murcia,Murcia,64780,267,2024-07-01
RE/MAX,lista para construir,1404843,6,2,1.63,Plaza España 126,Málaga,Castilla-La Mancha,58988,441,2024-12-07
Keller Williams,lista para la venta,424618,5,3,0.61,Plaza del Sol 37,Valladolid,Murcia,28473,125,2023-09-28
Coldwell Banker,lista para la venta,727337,5,1,0.84,Calle Serrano 43,Valladolid,Baleares,31813,266,2023-07-26
Berkshire Hathaway,lista para la venta,2167514,4,1,1.57,Calle Serrano 194,Barcelona,Castilla-La Mancha,24858,483,2025-01-31
Coldwell Banker,lista para la venta,767554,5,4,1.42,Plaza España 195,Zaragoza,Madrid,83794,286,2024-08-08
Coldwell Banker,lista para la venta,506872,5,1,0.63,Plaza del Sol 136,Bilbao,Baleares,28234,128,2023-11-16
Berkshire Hathaway,lista para construir,452276,1,1,0.23,Calle Alcalá 174,Palma,Cataluña,81783,219,2025-03-01
Berkshire Hathaway,lista para la venta,1132092,1,1,1.95,Paseo de la Castellana 108,Alicante,Castilla y León,39923,469,2023-09-09
Keller Williams,lista para construir,314330,2,2,1.43,Avenida de la Constitución 165,Alicante,Cataluña,74096,80,2024-04-19
Sotheby's,lista para la venta,1085225,4,2,0.14,Avenida Diagonal 188,Valladolid,Navarra,33926,447,2023-11-26
Realty One,lista para construir,1203938,2,2,0.28,Paseo de la Castellana 7,Madrid,Andalucía,78644,237,2023-11-26
Berkshire Hathaway,lista para construir,486826,5,1,1.28,Paseo de la Castellana 199,Valladolid,Baleares,16714,128,2023-06-07
Sotheby's,lista para la venta,536862,4,2,0.21,Calle Gran Vía 143,Madrid,Valencia,66280,97,2024-12-16
Keller Williams,lista para la venta,633421,6,2,0.8,Calle Mayor 110,Alicante,Canarias,91666,246,2025-02-21
Berkshire Hathaway,lista para la venta,909485,4,2,1.97,Calle Mayor 125,Palma,Cataluña,47497,373,2024-09-18
Realty One,lista para la venta,1307172,5,3,1.22,Avenida de la Constitución 49,Bilbao,Castilla y León,68548,363,2023-09-19
Century 21,lista para construir,697889,2,1,1.07,Avenida de la Constitución 23,Sevilla,Valencia,78450,265,2024-04-05
RE/MAX,lista para construir,448914,5,3,0.41,Avenida Diagonal 42,Gijón,Castilla y León,27960,118,2024-01-29
Coldwell Banker,lista para construir,720262,3,2,1.27,Calle Alcalá 89,Las Palmas,Murcia,40176,254,2024-07-16
Century 21,lista para construir,1249524,5,4,1.24,Avenida de la Constitución 90,Valencia,Murcia,98284,349,2024-08-21
Sotheby's,lista para la venta,399949,2,3,0.47,Calle Alcalá 108,Murcia,Cataluña,60923,146,2024-03-24
Sotheby's,lista para construir,1145028,6,4,1.11,Plaza del Sol 81,Córdoba,Valencia,38854,472,2023-11-23
Realty One,lista para la venta,960969,3,3,0.79,Plaza España 199,Gijón,País Vasco,86091,402,2025-01-13
Century 21,lista para la venta,732344,6,4,0.57,Avenida de la Constitución 160,Murcia,Asturias,51976,257,2023-10-18
RE/MAX,lista para la venta,1281963,3,4,1.63,Avenida de la Constitución 181,Sevilla,Asturias,20972,477,2024-02-25
Realty One,lista para construir,567291,1,2,0.2,Calle Serrano 132,Madrid,Andalucía,10893,108,2024-05-04
Century 21,lista para construir,2132873,2,3,0.94,Calle Gran Vía 118,Barcelona,Valencia,45548,485,2023-11-14
eXp Realty,lista para construir,765394,5,2,0.14,Ronda de Valencia 89,Alicante,Canarias,24495,288,2024-07-05
Coldwell Banker,lista para la venta,423855,5,4,0.55,Plaza del Sol 19,Palma,Valencia,89742,131,2024-07-07
Century 21,lista para construir,1011467,5,3,1.51,Plaza España 134,Valencia,Baleares,87076,294,2025-04-26
Realty One,lista para construir,1082870,4,3,0.5,Calle Alcalá 142,Málaga,Asturias,88549,326,2023-12-24
Sotheby's,lista para construir,1162760,6,1,1.51,Plaza del Sol 134,Madrid,Galicia,96448,217,2025-04-16
eXp Realty,lista para construir,508944,2,2,0.59,Calle Mayor 95,Sevilla,Canarias,57380,181,2024-09-04
Century 21,lista para la venta,1582302,1,1,0.72,Calle Mayor 119,Barcelona,Castilla-La Mancha,30846,360,2023-12-10
Berkshire Hathaway,lista para construir,600046,3,4,0.18,Plaza del Sol 56,Las Palmas,País Vasco,89906,252,2024-07-01
RE/MAX,lista para construir,587063,1,1,0.58,Plaza del Sol 139,Málaga,Extremadura,48437,213,2024-09-23
Sotheby's,lista para la venta,624405,6,2,1.62,Paseo de la Castellana 17,Córdoba,Cataluña,97459,156,2024-11-04
Century 21,lista para la venta,1275870,3,2,1.77,Calle Gran Vía 58,Madrid,Baleares,92534,246,2023-07-05
Coldwell Banker,lista para la venta,2403770,4,4,0.24,Calle Gran Vía 91,Madrid,Navarra,76045,485,2024-07-30
Berkshire Hathaway,lista para la venta,767621,6,4,0.35,Plaza España 97,Vigo,Navarra,91960,306,2024-05-14
Keller Williams,lista para construir,967205,4,2,1.65,Paseo de la Castellana 55,Zaragoza,Andalucía,34530,342,2025-02-23
Century 21,lista para la venta,890491,4,4,0.75,Calle Gran Vía 57,Valladolid,Aragón,16673,352,2023-12-18
Keller Williams,lista para construir,773438,4,4,0.74,Avenida de la Constitución 191,Murcia,Aragón,65681,295,2024-12-12
RE/MAX,lista para la venta,608318,5,2,0.57,Calle Gran Vía 70,Valencia,Navarra,93688,142,2024-07-30
Century 21,lista para construir,395573,1,2,0.34,Plaza España 115,Murcia,Valencia,11594,170,2024-02-02
Century 21,lista para construir,579222,6,3,1.75,Calle Serrano 83,Palma,Asturias,11357,148,2024-08-20
Compass,lista para la venta,2245996,5,1,1.75,Ronda de Valencia 159,Barcelona,Castilla y León,37833,483,2024-08-09
eXp Realty,lista para construir,683421,4,4,1.56,Calle Serrano 58,Valladolid,Castilla-La Mancha,47944,217,2024-09-18
Century 21,lista para construir,595739,3,4,1.79,Calle Gran Vía 48,Vigo,Asturias,75491,152,2024-10-18
Berkshire Hathaway,lista para la venta,1723483,5,3,1.72,Paseo de la Castellana 31,Madrid,Cataluña,87980,331,2024-09-05
Keller Williams,lista para construir,786405,2,2,0.64,Avenida de la Constitución 184,Córdoba,Galicia,42179,349,2025-01-08
Realty One,lista para construir,1051189,3,1,1.25,Calle Serrano 113,Sevilla,Navarra,73740,373,2024-08-14
Sotheby's,lista para la venta,988760,2,3,1.36,Paseo de la Castellana 128,Murcia,Madrid,26518,439,2025-02-23
Century 21,lista para construir,1677413,5,2,1.67,Avenida Diagonal 120,Barcelona,Extremadura,51199,356,2024-08-27
Century 21,lista para construir,397138,1,1,1.17,Calle Mayor 96,Zaragoza,Galicia,44008,102,2024-01-03
Century 21,lista para la venta,459861,3,1,0.49,Paseo de la Castellana 129,Vigo,Extremadura,73085,170,2024-04-05
eXp Realty,lista para construir,525848,2,3,1.21,Calle Mayor 38,Málaga,Valencia,49207,129,2024-07-11
Berkshire Hathaway,lista para la venta,1392001,1,1,1.08,Avenida Diagonal 133,Madrid,Baleares,13947,294,2024-10-26
Keller Williams,lista para la venta,1051093,4,3,1.65,Avenida de la Constitución 30,Zaragoza,Asturias,57965,376,2023-08-03
Century 21,lista para la venta,292120,4,2,0.38,Calle Serrano 72,Alicante,Castilla-La Mancha,78285,51,2023-12-24
Compass,lista para construir,978747,4,4,0.83,Avenida Diagonal 189,Murcia,Baleares,70614,380,2024-11-05
Century 21,lista para construir,907255,4,2,0.18,Calle Alcalá 14,Alicante,Asturias,77820,379,2023-10-02
Compass,lista para la venta,1357338,1,2,1.78,Avenida de la Constitución 105,Madrid,Navarra,78336,261,2023-09-01
Sotheby's,lista para construir,520677,6,4,0.96,Avenida Diagonal 122,Bilbao,Andalucía,60811,79,2024-06-13
Century 21,lista para construir,468712,5,3,1.39,Avenida Diagonal 30,Vigo,Extremadura,68239,81,2025-04-12
RE/MAX,lista para construir,1037562,5,4,1.51,Calle Serrano 154,Murcia,Castilla-La Mancha,69984,360,2024-06-07
Sotheby's,lista para construir,404111,2,2,0.11,Avenida Diagonal 13,Murcia,Castilla y León,83192,171,2025-03-02
Realty One,lista para construir,1073951,5,3,1.18,Plaza España 34,Sevilla,Asturias,51547,393,2025-01-03
Berkshire Hathaway,lista para la venta,510340,3,4,1.15,Avenida Diagonal 163,Valladolid,Castilla y León,30511,141,2023-11-28
